date,gdpc1_2009q1_vintage,gdpc1_2010q1_vintage,gdpc1_today,gdppot_2008_vintage,gdppot_today,core_pce,fedfunds,gdpc1_2009q1_vintage_cumulative_pct_change,gdpc1_2010q1_vintage_cumulative_pct_change,gdpc1_today_cumulative_pct_change,core_pce_yoy_inflation,output_gap_realtime,output_gap_today,bernanke_rule_realtime,bernanke_rule_today
2007-01-01,11357.8000000000,13099.9000000000,16611.6900000000,11567.9000000000,16438.5820562590,85.3753333333,5.2566666667,0.0000000000,0.0000000000,0.0000000000,,-1.8329288276,-1.8329288276,,
2007-04-01,11491.4000000000,13204.0000000000,16713.3140000000,11647.3000000000,16523.0621550536,85.7306666667,5.2500000000,1.1762841395,0.7946625547,0.6117619580,,-1.3475463974,-1.9070678014,,
2007-07-01,11625.7000000000,13321.1000000000,16809.5870000000,11727.1000000000,16608.0260267577,86.1516666667,5.0733333333,2.3587314445,1.6885625081,1.1913116606,,-0.8684238058,-2.0154956182,,
2007-10-01,11620.7000000000,13391.2000000000,16915.1910000000,11807.4000000000,16691.7120993495,86.7473333333,4.4966666667,2.3147088345,2.2236810968,1.8270326499,,-1.5938462986,-2.0716291457,,
2008-01-01,11646.0000000000,13366.9000000000,16843.0030000000,11888.0000000000,16774.7772154580,87.2066666667,3.1766666667,2.5374632411,2.0381834976,1.3924712055,2.1450379891,-2.0566714560,-3.1796101463,2.1608855276,1.0379468374
2008-04-01,11727.4000000000,13415.3000000000,16943.2910000000,11968.7000000000,16854.4315098241,87.5730000000,2.0866666667,3.2541513321,2.4076519668,1.9961906344,2.1489781953,-2.0366924609,-3.2624896383,2.1867748320,0.9609776546
2008-07-01,11712.4000000000,13324.6000000000,16854.2950000000,12049.5000000000,16929.7530432773,88.0200000000,1.9400000000,3.1220835021,1.7152802693,1.4604474319,2.1686560523,-2.8375055659,-4.4619576659,1.4154785126,-0.2089735874
2008-10-01,11599.4000000000,13141.9000000000,16485.3500000000,12130.4000000000,16999.9085535114,87.9506666667,0.5066666667,2.1271725158,0.3206131345,-0.7605487461,1.3871704029,-4.4761325868,-7.3444522603,-1.3953769824,-4.2636966559
2009-01-01,,12925.4000000000,16298.2620000000,12211.2000000000,17063.7936452077,87.9496666667,0.1833333333,,-1.3320712372,-1.8867917713,0.8519990826,,-9.1497018850,,-6.8717032611
2009-04-01,,12901.5000000000,16269.1450000000,12292.0000000000,17122.6827712421,88.2940000000,0.1800000000,,-1.5145153780,-2.0620719505,0.8233131216,,-9.9880206944,,-7.7530510120
2009-07-01,,12973.0000000000,16326.2810000000,12372.9000000000,17177.4104613904,88.6073333333,0.1566666667,,-0.9687096848,-1.7181213952,0.6672725896,,-10.2934388214,,-8.2925299370
2009-10-01,,13155.0000000000,16502.7540000000,12453.9000000000,17230.3265696583,89.1593333333,0.1200000000,,0.4206138978,-0.6557791531,1.3742552643,,-9.8708482619,,-6.8094653654
2010-01-01,,,16582.7100000000,12535.0000000000,17284.0894590185,89.4643333333,0.1333333333,,,-0.1744554588,1.7221971658,,-10.0366077139,,-6.4533119652
2010-04-01,,,16743.1620000000,12616.1000000000,17339.5404974435,89.7053333333,0.1933333333,,,0.7914426527,1.5984476106,,-9.7185771778,,-6.3209057619
2010-07-01,,,16872.2660000000,12697.5000000000,17398.2497508122,89.8433333333,0.1866666667,,,1.5686302839,1.3949184040,,-9.5935846695,,-6.5012070634
2010-10-01,,,16960.8640000000,12779.2000000000,17459.6679481284,90.1273333333,0.1866666667,,,2.1019775833,1.0856967676,,-9.7112208538,,-7.0826757024
2011-01-01,,,16920.6320000000,12861.5000000000,17523.8984770586,90.5230000000,0.1566666667,,,1.8597866924,1.1833393568,,-10.5906578847,,-7.8156488494
2011-04-01,,,17035.1140000000,12944.6000000000,17590.0622922554,91.0523333333,0.0933333333,,,2.5489519730,1.5015829605,,-10.5603901389,,-7.3080156981
2011-07-01,,,17031.3130000000,13028.4000000000,17658.1319087854,91.4680000000,0.0833333333,,,2.5260704961,1.8083330242,,-11.2279930924,,-7.5154935561
2011-10-01,,,17222.5830000000,13113.0000000000,17728.7870470559,91.7940000000,0.0733333333,,,3.6774885638,1.8492355260,,-10.7584548618,,-6.9846015727
2012-01-01,,,17367.0100000000,13198.4000000000,17802.1246062222,92.3733333333,0.1033333333,,,4.5469184652,2.0440477374,,-10.5725112374,,-6.5064396313
2012-04-01,,,17444.5250000000,13284.4000000000,17877.5135011928,92.7553333333,0.1533333333,,,5.0135476884,1.8703529472,,-10.7766500457,,-6.9711206249
2012-07-01,,,17469.6500000000,13370.9000000000,17954.1597515643,93.0233333333,0.1433333333,,,5.1647965981,1.7004125304,,-11.2817545951,,-7.7311357995
2012-10-01,,,17489.8520000000,13457.7000000000,18032.2714109756,93.4346666667,0.1600000000,,,5.2864097512,1.7873354104,,-11.8132537747,,-8.1322506590
2013-01-01,,,17662.4000000000,13544.5000000000,18112.7611931849,93.7996666667,0.1433333333,,,6.3251240542,1.5440964203,,-11.4744406403,,-8.1582960098
2013-04-01,,,17709.6710000000,13631.4000000000,18194.4525015144,94.0643333333,0.1166666667,,,6.6096887192,1.4112396053,,-11.8467012306,,-8.7298418227
2013-07-01,,,17860.4500000000,13718.2000000000,18277.0736950576,94.4343333333,0.0833333333,,,7.5173567530,1.5168237360,,-11.6336579075,,-8.3584223036
2013-10-01,,,18016.1470000000,13805.0000000000,18361.5976990199,94.8413333333,0.0866666667,,,8.4546304440,1.5055083053,,-11.3964365864,,-8.1381741285
